Movies	recommendation
Jurassic Park (1993) , First Kid (1996) , 101 Dalmatians (1996) , Homeward Bound: The Incredible Journey (1993)	['Taxi Driver (1976)', 'Apollo 13 (1995)', 'Beautiful Mind, A (2001)', 'Clueless (1995)', 'Outbreak (1995)', 'Batman Begins (2005)', 'Net, The (1995)', 'Ghostbusters (a.k.a. Ghost Busters) (1984)']
Liar Liar (1997) , Anastasia (1997) , Murder at 1600 (1997) , Conspiracy Theory (1997)	['American Pie (1999)', 'Crimson Tide (1995)', 'Firm, The (1993)', 'Incredibles, The (2004)', 'Catch Me If You Can (2002)', 'Goodfellas (1990)', 'Net, The (1995)', 'Donnie Darko (2001)']
Clockwork Orange, A (1971) , Postino, Il (1994) , Chasing Amy (1997) , Piano, The (1993)	"['Crimson Tide (1995)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Memento (2000)', 'Batman Begins (2005)', 'Up (2009)', 'Monty Python and the Holy Grail (1975)']"
Toy Story (1995) ,  Pretty Woman (1990)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Hoop Dreams (1994) , One Flew Over the Cuckoo's Nest (1975) , Snow White and the Seven Dwarfs (1937) , Taxi Driver (1976)	['Clockwork Orange, A (1971)', 'Trainspotting (1996)', '2001: A Space Odyssey (1968)', 'Apocalypse Now (1979)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Memento (2000)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Departed, The (2006)']
Raising Arizona (1987) , Apocalypse Now (1979) , Annie Hall (1977) , Secrets & Lies (1996)	"['Reservoir Dogs (1992)', 'Fargo (1996)', 'Lord of the Rings: The Return of the King, The (2003)', 'WALL·E (2008)', 'Departed, The (2006)', 'Monty Python and the Holy Grail (1975)', 'American Beauty (1999)', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)""]"
Some Like It Hot (1959) , Cop Land (1997) , This Is Spinal Tap (1984) , Raging Bull (1980)	"['Willy Wonka & the Chocolate Factory (1971)', 'American History X (1998)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Aladdin (1992)', 'Blade Runner (1982)', 'Incredibles, The (2004)', 'Interview with the Vampire: The Vampire Chronicles (1994)', ""Ferris Bueller's Day Off (1986)""]"
Titanic (1997) , Rosewood (1997) , Soul Food (1997) , Eve's Bayou (1997)	['Fargo (1996)', 'Waterworld (1995)', 'Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
Toy Story (1995) , Star Wars (1977) , Godfather, The (1972) , Willy Wonka and the Chocolate Factory (1971)	"['Godfather: Part II, The (1974)', ""Schindler's List (1993)"", 'Incredibles, The (2004)', 'Finding Nemo (2003)']"
Toy Story (1995) , Mission: Impossible (1996) , Truth About Cats & Dogs, The (1996) , Broken Arrow (1996)	['American Pie (1999)', 'Fugitive, The (1993)', 'Incredibles, The (2004)', 'WALL·E (2008)', 'Harry Potter and the Chamber of Secrets (2002)', 'Net, The (1995)', 'Finding Nemo (2003)']
2001: A Space Odyssey (1968) , Leaving Las Vegas (1995) , Clerks (1994) , Sex, Lies, and Videotape (1989)	"['Clockwork Orange, A (1971)', 'Taxi Driver (1976)', 'Four Weddings and a Funeral (1994)', 'Outbreak (1995)', ""Ocean's Eleven (2001)"", 'Sleepless in Seattle (1993)']"
Gabbeh (1996) , Pillow Book, The (1995) , Boot, Das (1981) , Grosse Pointe Blank (1997)	['American Pie (1999)', 'Terminator 2: Judgment Day (1991)']
Toy Story (1995) ,  Return of the Pink Panther, The (1974)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Rosewood (1997) ,  Money Talks (1997)	['Fargo (1996)', 'Waterworld (1995)']
Nightmare on Elm Street, A (1984) , Interview with the Vampire (1994) , Bram Stoker's Dracula (1992) , Psycho (1960)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Monsters, Inc. (2001)', 'Pulp Fiction (1994)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']"
Man of No Importance, A (1994) ,  Grease (1978)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
